id,category,creator,level,maxUsers,price,datetime,title,duration
39,Aerobics,52,advanced,10,17.45,2023-11-15 22:00:00.393354,A Aerobics class,2 h 
40,GAP,142,intermediate,27,16.66,2023-07-08 06:00:00.393354,A GAP class,0 h 45 min
41,Stretching,861,advanced,15,6.95,2023-06-20 09:30:00.393354,A Stretching class,2 h 
42,Barre,104,begginer,36,12.43,2023-08-01 11:30:00.393354,A Barre class,0 h 40 min
43,Body Combat,720,intermediate,38,15.13,2023-06-24 07:00:00.393354,A Body Combat class,1 h 40 min
44,Body Combat,616,all levels,38,13.9,2024-04-21 04:00:00.393354,A Body Combat class,2 h 
45,Yoga,793,advanced,13,14.85,2024-03-16 02:00:00.393354,A Yoga class,2 h 
46,Kickboxing,678,advanced,10,19.46,2023-08-15 13:00:00.393354,A Kickboxing class,0 h 40 min
47,Spinning,929,all levels,16,21.85,2023-09-11 21:00:00.393354,A Spinning class,0 h 10 min
48,ABS,182,intermediate,11,14.88,2023-08-26 12:00:00.393354,A ABS class,0 h 40 min
49,Body Pump,338,all levels,3,17.06,2024-01-30 16:30:00.393354,A Body Pump class,0 h 25 min
50,Spinning,275,intermediate,2,10.22,2024-05-10 02:30:00.393354,A Spinning class,2 h 
51,Other,552,begginer,17,19.27,2023-11-26 19:30:00.393354,A Other class,1 h 
52,Stretching,726,intermediate,3,21.31,2023-07-20 21:00:00.393354,A Stretching class,1 h 50 min
53,CrossFit,148,begginer,10,15.3,2024-03-27 23:30:00.393354,A CrossFit class,1 h 45 min
54,Pilates,989,all levels,36,13.16,2023-12-30 18:30:00.393354,A Pilates class,1 h 10 min
55,Aerobics,720,advanced,46,9.6,2024-05-22 16:00:00.393354,A Aerobics class,1 h 15 min
56,Other,121,begginer,8,16.83,2024-04-20 11:30:00.393354,A Other class,0 h 10 min
57,Zumba,709,begginer,4,12.53,2024-01-27 04:30:00.393354,A Zumba class,0 h 45 min
58,Boxing,397,all levels,9,16.36,2024-01-12 11:30:00.393354,A Boxing class,2 h 
59,Body Pump,841,advanced,32,16.87,2024-01-28 03:00:00.393354,A Body Pump class,1 h 
60,GAP,246,all levels,16,16.71,2023-12-18 12:00:00.393354,A GAP class,0 h 50 min
61,Kickboxing,685,advanced,1,17.41,2024-04-08 02:30:00.393354,A Kickboxing class,2 h 
62,GAP,99,intermediate,41,15.84,2024-04-20 19:30:00.393354,A GAP class,2 h 
63,Kickboxing,531,advanced,30,14.19,2023-12-16 12:30:00.393354,A Kickboxing class,2 h 
64,Pilates,949,all levels,24,9.74,2023-12-12 05:30:00.393354,A Pilates class,2 h 
65,Pilates,578,all levels,4,11.8,2023-09-13 08:30:00.393354,A Pilates class,1 h 50 min
66,Total Body Conditioning,555,advanced,31,12.63,2023-12-17 01:00:00.393354,A Total Body Conditioning class,2 h 
67,Other,574,begginer,41,13.96,2024-05-04 18:00:00.393354,A Other class,0 h 5 min
68,Yoga,658,all levels,12,13.89,2023-10-23 09:00:00.393354,A Yoga class,0 h 10 min
69,Other,338,advanced,36,11.42,2024-04-01 16:30:00.393354,A Other class,1 h 25 min
70,Yoga,769,intermediate,36,10.22,2023-06-04 03:00:00.393354,A Yoga class,2 h 
71,Total Body Conditioning,616,advanced,34,15.46,2023-07-26 05:00:00.393354,A Total Body Conditioning class,2 h 
72,Stretching,907,begginer,36,12.38,2024-01-23 11:30:00.393354,A Stretching class,2 h 
73,ABS,264,all levels,49,18.29,2023-08-27 06:00:00.393354,A ABS class,0 h 5 min
74,HIIT,778,all levels,24,7.94,2023-08-09 21:00:00.393354,A HIIT class,1 h 5 min
75,Aerobics,490,begginer,47,17.45,2023-09-21 18:30:00.393354,A Aerobics class,1 h 35 min
76,CrossFit,861,begginer,10,14.93,2024-05-16 21:30:00.393354,A CrossFit class,1 h 25 min
77,Personalized,984,begginer,28,13.04,2023-07-14 19:30:00.393354,A Personalized class,0 h 20 min
78,ABS,502,advanced,26,14.08,2023-11-23 04:00:00.393354,A ABS class,1 h 25 min
79,Barre,571,advanced,26,14.54,2023-08-27 01:30:00.393354,A Barre class,0 h 
80,Body Pump,658,begginer,32,12.74,2023-08-25 08:30:00.393354,A Body Pump class,1 h 35 min
81,Pilates,858,begginer,39,17.4,2023-12-10 07:00:00.393354,A Pilates class,2 h 
82,GAP,250,begginer,26,15.31,2024-03-16 13:30:00.393354,A GAP class,1 h 10 min
83,ABS,978,begginer,18,17.96,2023-06-05 19:30:00.393354,A ABS class,2 h 
84,Stretching,397,advanced,12,14.41,2023-08-02 05:00:00.393354,A Stretching class,1 h 10 min
85,Spinning,245,begginer,3,15.47,2023-10-20 01:00:00.393354,A Spinning class,0 h 45 min
86,Other,258,begginer,5,13.19,2023-07-29 10:30:00.393354,A Other class,2 h 
87,HIIT,704,advanced,9,14.6,2024-05-10 10:00:00.393354,A HIIT class,2 h 
88,Pilates,942,begginer,17,9.02,2023-07-01 08:30:00.393354,A Pilates class,2 h 
89,GAP,931,all levels,38,19.44,2024-05-02 20:00:00.393354,A GAP class,1 h 10 min
90,ABS,498,begginer,9,15.95,2024-04-27 04:00:00.393354,A ABS class,2 h 
91,Yoga,686,all levels,37,20.26,2023-09-27 03:30:00.393354,A Yoga class,1 h 55 min
92,Aerobics,697,begginer,10,15.34,2023-11-18 13:30:00.393354,A Aerobics class,2 h 
93,Zumba,416,intermediate,29,13.06,2023-07-08 09:30:00.393354,A Zumba class,1 h 25 min
94,Yoga,421,advanced,3,13.69,2023-08-03 14:00:00.393354,A Yoga class,1 h 25 min
95,Body Pump,50,intermediate,33,15.73,2024-01-05 12:00:00.393354,A Body Pump class,0 h 25 min
96,Total Body Conditioning,147,advanced,39,14.22,2024-03-18 11:30:00.393354,A Total Body Conditioning class,0 h 10 min
97,Total Body Conditioning,51,intermediate,28,10.3,2024-02-12 20:30:00.393354,A Total Body Conditioning class,1 h 
98,Pilates,423,begginer,18,14.66,2023-10-04 12:00:00.393354,A Pilates class,0 h 30 min
99,Boxing,394,begginer,26,12.21,2024-05-15 03:00:00.393354,A Boxing class,2 h 
100,Boxing,246,begginer,16,16.15,2024-03-29 18:00:00.393354,A Boxing class,2 h 
101,Kickboxing,151,intermediate,48,7.99,2023-08-08 21:00:00.393354,A Kickboxing class,0 h 20 min
102,Spinning,704,all levels,43,13.79,2024-05-17 12:30:00.393354,A Spinning class,1 h 40 min
103,Boxing,658,all levels,18,15.26,2024-04-11 16:00:00.393354,A Boxing class,0 h 55 min
104,Other,937,advanced,37,16.92,2023-07-28 11:30:00.393354,A Other class,2 h 
105,ABS,31,begginer,21,16.43,2024-04-28 14:30:00.393354,A ABS class,0 h 55 min
106,Stretching,720,begginer,7,14.65,2023-06-22 15:30:00.393354,A Stretching class,0 h 
107,Total Body Conditioning,945,all levels,3,14.51,2024-02-09 17:00:00.393354,A Total Body Conditioning class,2 h 
108,Barre,825,intermediate,17,5.79,2024-03-26 06:00:00.393354,A Barre class,1 h 15 min
109,Body Pump,490,all levels,20,10.43,2024-01-01 05:30:00.393354,A Body Pump class,0 h 25 min
110,Boxing,99,intermediate,45,16.62,2024-04-11 19:00:00.393354,A Boxing class,2 h 
111,Total Body Conditioning,27,begginer,3,14.65,2023-11-10 14:00:00.393354,A Total Body Conditioning class,0 h 40 min
112,Yoga,770,advanced,23,17.54,2024-02-05 01:00:00.393354,A Yoga class,0 h 50 min
113,Personalized,337,begginer,35,15.94,2023-10-03 18:00:00.393354,A Personalized class,1 h 15 min
114,Total Body Conditioning,578,all levels,38,13.86,2023-07-14 02:00:00.393354,A Total Body Conditioning class,2 h 
115,Yoga,176,intermediate,40,12.32,2023-08-08 10:00:00.393354,A Yoga class,2 h 
116,Body Combat,801,begginer,43,16.2,2023-05-30 15:00:00.393354,A Body Combat class,0 h 30 min
117,Boxing,778,begginer,17,9.87,2024-05-16 19:30:00.393354,A Boxing class,0 h 45 min
118,Body Pump,52,all levels,17,21.39,2023-12-22 15:30:00.393354,A Body Pump class,0 h 
119,Aerobics,136,all levels,7,13.64,2023-06-06 02:00:00.393354,A Aerobics class,2 h 
120,Total Body Conditioning,997,begginer,29,15.46,2024-02-10 08:00:00.393354,A Total Body Conditioning class,2 h 
121,Stretching,735,intermediate,12,14.29,2023-09-13 16:30:00.393354,A Stretching class,2 h 
122,Boxing,50,begginer,21,14.32,2024-02-12 03:30:00.393354,A Boxing class,2 h 
123,Aerobics,442,intermediate,2,13.21,2023-11-10 22:30:00.393354,A Aerobics class,0 h 35 min
124,Total Body Conditioning,832,advanced,29,10.53,2024-05-16 11:30:00.393354,A Total Body Conditioning class,0 h 10 min
125,CrossFit,141,advanced,44,16.22,2024-04-08 17:30:00.393354,A CrossFit class,0 h 10 min
126,Personalized,803,advanced,49,17.78,2023-10-30 20:30:00.393354,A Personalized class,1 h 50 min
127,CrossFit,478,intermediate,44,19.94,2023-05-31 15:00:00.393354,A CrossFit class,2 h 
128,Zumba,147,all levels,27,13.23,2024-04-22 09:30:00.393354,A Zumba class,2 h 
129,ABS,391,advanced,50,16.65,2023-09-11 23:30:00.393354,A ABS class,1 h 15 min
130,Spinning,611,all levels,39,14.07,2023-07-18 11:00:00.393354,A Spinning class,1 h 25 min
131,ABS,984,all levels,20,10.93,2023-08-03 20:00:00.393354,A ABS class,1 h 50 min
132,Barre,131,advanced,26,10.66,2024-05-08 02:30:00.393354,A Barre class,0 h 10 min
133,Spinning,60,all levels,13,15.92,2023-09-06 05:30:00.393354,A Spinning class,2 h 
134,CrossFit,478,all levels,36,14.04,2024-03-23 12:30:00.393354,A CrossFit class,0 h 45 min
135,Barre,463,advanced,30,13.88,2023-08-08 11:30:00.393354,A Barre class,0 h 25 min
136,CrossFit,647,begginer,14,18.45,2024-03-12 13:30:00.393354,A CrossFit class,0 h 20 min
137,Boxing,832,begginer,45,16.54,2023-09-28 10:00:00.393354,A Boxing class,1 h 35 min
138,Body Pump,793,advanced,12,13.77,2024-05-12 00:30:00.393354,A Body Pump class,0 h 45 min
139,Boxing,242,all levels,7,10.66,2023-07-25 04:00:00.393354,A Boxing class,1 h 5 min
140,Spinning,103,begginer,15,16.24,2023-09-22 19:30:00.393354,A Spinning class,2 h 
141,Personalized,737,all levels,36,16.42,2024-02-24 10:00:00.393354,A Personalized class,0 h 10 min
142,Pilates,576,begginer,17,16.29,2023-07-29 09:00:00.393354,A Pilates class,2 h 
143,Boxing,803,intermediate,37,10.91,2024-04-22 09:30:00.393354,A Boxing class,1 h 40 min
144,Kickboxing,770,all levels,35,13.09,2023-11-09 20:30:00.393354,A Kickboxing class,2 h 
145,Other,789,begginer,20,21.11,2024-01-27 18:30:00.393354,A Other class,0 h 20 min
146,Aerobics,981,intermediate,46,4.38,2023-08-13 19:30:00.393354,A Aerobics class,1 h 30 min
147,Total Body Conditioning,735,intermediate,24,17.67,2023-10-21 05:00:00.393354,A Total Body Conditioning class,2 h 
148,Barre,267,all levels,26,12.65,2023-06-02 21:30:00.393354,A Barre class,1 h 35 min
149,Stretching,981,all levels,39,13.77,2023-10-12 08:30:00.393354,A Stretching class,0 h 10 min
150,CrossFit,900,advanced,9,15.5,2023-05-28 03:00:00.393354,A CrossFit class,2 h 
151,HIIT,845,all levels,24,19.64,2023-06-29 18:30:00.393354,A HIIT class,1 h 45 min
152,Total Body Conditioning,927,all levels,36,11.21,2024-01-06 19:30:00.393354,A Total Body Conditioning class,2 h 
153,Zumba,395,advanced,26,12.93,2024-04-22 07:00:00.393354,A Zumba class,1 h 50 min
154,Other,11,all levels,4,18.49,2023-12-22 22:30:00.393354,A Other class,1 h 35 min
155,Aerobics,965,intermediate,18,20.96,2024-04-29 04:00:00.393354,A Aerobics class,2 h 
156,ABS,92,intermediate,44,10.84,2024-04-22 21:30:00.393354,A ABS class,0 h 10 min
157,Kickboxing,574,advanced,9,13.65,2023-06-21 14:30:00.393354,A Kickboxing class,2 h 
158,Yoga,441,intermediate,30,16.82,2023-09-15 22:00:00.393354,A Yoga class,2 h 
159,Pilates,437,begginer,49,15.32,2023-09-02 05:00:00.393354,A Pilates class,1 h 55 min
160,HIIT,932,intermediate,31,12.51,2023-09-08 07:00:00.393354,A HIIT class,1 h 55 min
161,Boxing,903,intermediate,20,14.88,2024-03-17 00:00:00.393354,A Boxing class,1 h 40 min
162,Zumba,704,intermediate,47,19.57,2024-01-28 05:00:00.393354,A Zumba class,2 h 
163,Body Combat,978,advanced,1,15.26,2024-03-24 15:00:00.393354,A Body Combat class,2 h 
164,Yoga,900,all levels,43,16.2,2023-07-10 17:00:00.393354,A Yoga class,1 h 5 min
165,Yoga,359,intermediate,9,11.19,2023-10-08 03:00:00.393354,A Yoga class,0 h 45 min
166,Zumba,50,begginer,39,12.36,2024-04-09 17:30:00.393354,A Zumba class,2 h 
167,Body Combat,989,begginer,19,10.92,2023-11-21 21:30:00.393354,A Body Combat class,0 h 10 min
168,Kickboxing,737,all levels,9,22.75,2024-05-15 01:30:00.393354,A Kickboxing class,2 h 
169,Personalized,455,begginer,1,17.01,2023-11-04 23:30:00.393354,A Personalized class,0 h 45 min
170,Body Combat,942,intermediate,42,15.01,2024-02-25 19:30:00.393354,A Body Combat class,2 h 
171,Body Pump,695,all levels,35,14.18,2024-04-25 05:00:00.393354,A Body Pump class,0 h 20 min
172,CrossFit,697,all levels,12,10.82,2023-07-21 15:00:00.393354,A CrossFit class,2 h 
173,Barre,174,begginer,12,16.96,2023-07-20 06:00:00.393354,A Barre class,2 h 
174,Yoga,665,advanced,24,17.97,2024-04-12 00:00:00.393354,A Yoga class,0 h 25 min
175,Zumba,911,intermediate,36,17.96,2024-05-07 18:00:00.393354,A Zumba class,0 h 20 min
176,Other,490,intermediate,41,13.99,2023-06-20 22:30:00.393354,A Other class,1 h 15 min
177,Personalized,680,advanced,9,14.54,2023-08-11 21:30:00.393354,A Personalized class,2 h 
178,Other,470,begginer,37,20.92,2023-09-08 08:00:00.393354,A Other class,1 h 5 min
179,Body Pump,735,begginer,35,14.82,2023-09-27 15:30:00.393354,A Body Pump class,0 h 5 min
180,Body Pump,204,begginer,48,12.82,2024-05-10 11:30:00.393354,A Body Pump class,1 h 15 min
181,CrossFit,228,intermediate,45,11.43,2024-01-03 22:30:00.393354,A CrossFit class,1 h 20 min
182,Spinning,258,advanced,47,14.94,2023-06-05 06:00:00.393354,A Spinning class,1 h 
183,Personalized,604,intermediate,8,18.39,2023-12-07 07:30:00.393354,A Personalized class,2 h 
184,Barre,326,intermediate,24,13.18,2023-11-18 15:30:00.393354,A Barre class,1 h 50 min
185,Barre,679,advanced,33,14.5,2023-07-23 01:00:00.393354,A Barre class,2 h 
186,Body Pump,744,intermediate,25,14.8,2023-10-11 19:00:00.393354,A Body Pump class,2 h 
187,Body Pump,365,begginer,11,18.51,2023-08-08 03:00:00.393354,A Body Pump class,1 h 35 min
188,ABS,686,all levels,28,16.86,2023-08-19 07:30:00.393354,A ABS class,1 h 20 min
189,HIIT,437,advanced,26,17.41,2023-09-30 19:30:00.393354,A HIIT class,1 h 45 min
190,Spinning,1,all levels,25,11.65,2024-04-29 19:00:00.393354,A Spinning class,2 h 
191,ABS,899,all levels,50,15.44,2023-08-21 14:00:00.393354,A ABS class,2 h 
192,CrossFit,720,all levels,46,11.53,2024-03-25 12:30:00.393354,A CrossFit class,1 h 10 min
193,ABS,47,all levels,34,15.81,2024-04-10 04:00:00.393354,A ABS class,1 h 10 min
194,ABS,57,intermediate,13,18.01,2023-06-02 17:00:00.393354,A ABS class,2 h 
195,Barre,922,advanced,7,14.16,2024-05-21 07:30:00.393354,A Barre class,1 h 35 min
196,Boxing,616,advanced,48,15.55,2024-03-02 05:00:00.393354,A Boxing class,1 h 40 min
197,Personalized,148,advanced,44,15.74,2023-12-25 07:00:00.393354,A Personalized class,0 h 10 min
198,Aerobics,552,advanced,31,12.66,2024-02-06 13:30:00.393354,A Aerobics class,1 h 50 min
199,Barre,531,advanced,12,13.92,2023-09-03 06:00:00.393354,A Barre class,1 h 
200,GAP,841,advanced,13,18.39,2024-05-23 09:00:00.393354,A GAP class,2 h 
201,GAP,27,begginer,18,14.59,2023-11-11 22:00:00.393354,A GAP class,0 h 40 min
202,Pilates,242,advanced,42,21.58,2023-07-21 18:00:00.393354,A Pilates class,1 h 45 min
203,Yoga,315,all levels,47,8.35,2023-12-28 01:00:00.393354,A Yoga class,0 h 30 min
204,Aerobics,833,intermediate,11,13.18,2023-09-08 11:30:00.393354,A Aerobics class,2 h 
205,CrossFit,932,begginer,42,13.99,2024-02-03 08:30:00.393354,A CrossFit class,0 h 35 min
206,HIIT,218,advanced,29,14.11,2023-07-15 12:00:00.393354,A HIIT class,2 h 
207,Total Body Conditioning,448,intermediate,46,16.29,2023-08-26 12:30:00.393354,A Total Body Conditioning class,1 h 
208,CrossFit,989,advanced,34,18.21,2024-04-06 11:30:00.393354,A CrossFit class,0 h 20 min
209,Zumba,665,begginer,31,10.22,2024-02-28 14:30:00.393354,A Zumba class,2 h 
210,Boxing,148,all levels,32,11.61,2024-03-06 01:30:00.393354,A Boxing class,2 h 
211,ABS,176,begginer,40,21.25,2024-01-20 04:00:00.393354,A ABS class,1 h 10 min
212,Barre,176,begginer,50,22.42,2023-08-17 15:00:00.393354,A Barre class,0 h 10 min
213,Zumba,697,all levels,32,16.3,2023-09-22 23:30:00.393354,A Zumba class,2 h 
214,Body Pump,528,advanced,7,15.79,2023-11-26 07:30:00.393354,A Body Pump class,2 h 
215,Zumba,84,all levels,35,9.98,2023-09-05 07:30:00.393354,A Zumba class,2 h 
216,GAP,994,advanced,22,10.69,2023-06-26 23:30:00.393354,A GAP class,2 h 
217,Body Combat,721,all levels,20,14.85,2024-02-06 04:00:00.393354,A Body Combat class,1 h 20 min
218,HIIT,168,intermediate,12,19.87,2024-01-19 17:00:00.393354,A HIIT class,2 h 
219,Kickboxing,11,all levels,10,17.0,2024-01-09 08:30:00.393354,A Kickboxing class,0 h 35 min
220,ABS,845,advanced,16,16.78,2023-11-04 15:30:00.393354,A ABS class,1 h 40 min
221,Total Body Conditioning,610,all levels,5,17.46,2023-07-03 00:00:00.393354,A Total Body Conditioning class,2 h 
222,Aerobics,463,advanced,6,16.88,2024-02-15 04:30:00.393354,A Aerobics class,1 h 10 min
223,HIIT,841,intermediate,43,16.18,2023-11-25 08:00:00.393354,A HIIT class,1 h 40 min
224,Spinning,1,begginer,22,18.78,2023-07-31 14:00:00.393354,A Spinning class,2 h 
225,Spinning,833,advanced,26,17.45,2023-09-24 01:30:00.393354,A Spinning class,2 h 
226,Body Combat,669,intermediate,9,10.89,2023-07-21 13:00:00.393354,A Body Combat class,0 h 50 min
227,Personalized,903,intermediate,42,15.76,2023-11-22 09:00:00.393354,A Personalized class,2 h 
228,Kickboxing,574,advanced,49,15.16,2023-09-11 17:00:00.393354,A Kickboxing class,1 h 30 min
229,Personalized,193,advanced,12,19.24,2023-11-28 08:30:00.393354,A Personalized class,1 h 
230,Spinning,997,all levels,26,18.04,2024-04-03 23:30:00.393354,A Spinning class,0 h 5 min
231,Spinning,84,intermediate,31,12.54,2023-08-30 05:30:00.393354,A Spinning class,0 h 45 min
232,Zumba,845,all levels,47,13.3,2023-10-03 13:30:00.393354,A Zumba class,0 h 10 min
233,Spinning,176,intermediate,33,10.07,2024-02-09 23:00:00.393354,A Spinning class,2 h 
234,GAP,623,begginer,36,11.0,2023-12-29 09:30:00.393354,A GAP class,1 h 5 min
235,GAP,359,begginer,40,19.02,2024-04-16 17:30:00.393354,A GAP class,0 h 45 min
236,Stretching,830,all levels,7,16.06,2024-05-23 03:00:00.393354,A Stretching class,0 h 15 min
237,Body Pump,978,intermediate,7,13.0,2023-11-13 22:30:00.393354,A Body Pump class,2 h 
238,GAP,258,begginer,18,16.05,2023-10-13 00:30:00.393354,A GAP class,1 h 15 min
239,Stretching,770,advanced,11,17.25,2023-12-20 19:30:00.393354,A Stretching class,2 h 
240,Other,822,advanced,20,12.01,2023-05-30 01:00:00.393354,A Other class,1 h 35 min
241,Aerobics,531,advanced,28,13.01,2023-11-24 20:00:00.393354,A Aerobics class,0 h 5 min
242,Barre,201,advanced,10,15.24,2023-12-05 09:00:00.393354,A Barre class,1 h 50 min
243,CrossFit,174,begginer,31,15.75,2024-05-12 17:00:00.393354,A CrossFit class,2 h 
244,Yoga,652,advanced,12,16.44,2023-07-20 08:30:00.393354,A Yoga class,0 h 15 min
245,ABS,937,begginer,22,15.2,2023-12-29 13:30:00.393354,A ABS class,1 h 40 min
246,Boxing,121,begginer,48,14.57,2023-08-12 03:30:00.393354,A Boxing class,1 h 30 min
247,Yoga,907,advanced,25,18.83,2024-02-10 19:30:00.393354,A Yoga class,0 h 30 min
248,Body Pump,478,intermediate,41,15.25,2023-12-23 17:00:00.393354,A Body Pump class,2 h 
249,Body Pump,792,begginer,47,15.48,2023-07-01 04:00:00.393354,A Body Pump class,2 h 
250,Body Pump,222,begginer,28,19.64,2023-08-12 12:00:00.393354,A Body Pump class,2 h 
251,Barre,608,advanced,48,21.79,2024-03-19 12:30:00.393354,A Barre class,0 h 20 min
252,Body Pump,331,begginer,10,17.67,2024-04-29 14:00:00.393354,A Body Pump class,1 h 25 min
253,Aerobics,416,advanced,28,19.96,2024-05-20 22:00:00.393354,A Aerobics class,0 h 10 min
254,Total Body Conditioning,832,all levels,30,18.3,2023-06-17 06:30:00.393354,A Total Body Conditioning class,1 h 45 min
255,Stretching,555,advanced,45,16.66,2024-03-27 12:00:00.393354,A Stretching class,0 h 20 min
256,Stretching,867,begginer,17,19.58,2024-01-11 06:00:00.393354,A Stretching class,2 h 
257,GAP,139,begginer,11,10.6,2023-08-27 01:00:00.393354,A GAP class,1 h 45 min
258,Personalized,744,begginer,21,20.79,2024-03-26 00:00:00.393354,A Personalized class,2 h 
259,Kickboxing,182,all levels,22,12.25,2023-12-22 09:00:00.393354,A Kickboxing class,0 h 50 min
260,HIIT,945,intermediate,9,14.57,2023-12-29 23:00:00.393354,A HIIT class,2 h 
261,Yoga,623,advanced,38,15.79,2023-11-22 12:30:00.393354,A Yoga class,1 h 5 min
262,Body Combat,695,advanced,3,17.79,2023-10-28 10:00:00.393354,A Body Combat class,2 h 
263,Pilates,574,all levels,34,11.8,2023-07-21 13:00:00.393354,A Pilates class,0 h 45 min
264,Stretching,182,intermediate,48,10.3,2023-12-30 02:00:00.393354,A Stretching class,2 h 
265,HIIT,717,advanced,34,16.05,2023-08-04 10:30:00.393354,A HIIT class,1 h 25 min
266,Zumba,448,intermediate,47,13.52,2023-10-25 18:00:00.393354,A Zumba class,1 h 40 min
267,Body Pump,787,advanced,4,11.72,2023-12-16 17:00:00.393354,A Body Pump class,1 h 40 min
268,Body Combat,247,advanced,1,10.33,2024-02-19 02:30:00.393354,A Body Combat class,0 h 15 min
269,ABS,932,intermediate,9,13.57,2024-01-12 17:30:00.393354,A ABS class,0 h 25 min
270,Kickboxing,394,advanced,18,13.16,2023-12-13 03:00:00.393354,A Kickboxing class,2 h 
271,Barre,204,all levels,26,17.91,2023-08-21 20:30:00.393354,A Barre class,2 h 
272,Body Pump,258,advanced,2,12.42,2023-06-20 05:00:00.393354,A Body Pump class,2 h 
273,Personalized,899,all levels,26,16.61,2023-12-04 00:00:00.393354,A Personalized class,0 h 40 min
274,CrossFit,365,advanced,43,15.69,2024-03-25 15:30:00.393354,A CrossFit class,0 h 30 min
275,Spinning,776,all levels,12,19.02,2024-04-24 21:30:00.393354,A Spinning class,2 h 
276,Kickboxing,792,intermediate,24,17.83,2024-01-29 12:30:00.393354,A Kickboxing class,2 h 
277,Barre,490,advanced,45,8.39,2023-09-13 23:00:00.393354,A Barre class,1 h 25 min
278,Spinning,769,advanced,3,10.97,2024-03-21 02:30:00.393354,A Spinning class,1 h 15 min
279,Pilates,984,all levels,23,14.36,2023-09-14 16:30:00.393354,A Pilates class,0 h 20 min
